plot_code,country_code,survey_date,altitude,longitude,latitude,tsu_id,plot_id,country_name,sign_of_erosion,srf_salt,srf_crust,crsfrgab,srf_stone,lndform,slope_class,bare_soil,main_land_use,life_forms,crop_type,field_size,field_distribution_pattern,ploughing_sign,ploughing_direction,tillage_mode,input_crop_residue,input_green_manure,input_animal_manure,input_inorganic,water_supply,grazing_sign_present,grazing_sign_infrastructure,grazing_sign_droppings,grazing_sign_grass,overgrazing_sign_bare,overgrazing_sign_dung,overgrazing_sign_deforest
NG032-2-1,NG,2022/09/22,353,7.3105178,6.859905499999999,784771602000301,21,Nigeria,No,No,Yes,Many (15-40%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Sloping (5 - 10%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Roots and tubers,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,Yes,Yes,No,Rainfed ,No,No,No,Yes,Yes,No,Yes
NG032-4-3,NG,2022/09/22,404,7.322266,6.8653685,784771601401603,23,Nigeria,No,No,No,Many (15-40%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Roots and tubers,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour",Manual (hoe),Yes,Yes,Yes,Yes,Rainfed ,No,No,No,No,No,No,No
NG046-7-3,NG,2022/09/23,329,7.4505065,6.1453315,802584201500203,29,Nigeria,No,No,No,Common (5-15%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Roots and tubers,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour",Manual (hoe),Yes,Yes,Yes,No,Rainfed ,No,No,No,No,No,No,No
NG046-3-3,NG,2022/09/23,330,7.450675,6.1459782999999995,802584201500303,30,Nigeria,No,No,No,Common (5-15%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Roots and tubers,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour",Manual (hoe),Yes,Yes,Yes,No,Rainfed ,No,No,No,No,No,No,No
NG046-4-1,NG,2022/09/23,239,7.4597433,6.1546767,802584200501301,31,Nigeria,No,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Roots and tubers,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour",Manual (hoe),Yes,Yes,Yes,No,Rainfed ,No,No,No,No,No,No,Yes
NG046-6-3,NG,2022/09/23,328,7.4557932000000005,6.1479182,802584201200803,32,Nigeria,No,No,No,Common (5-15%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Moderately steep (15 - 30%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Roots and tubers,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour",Manual (hoe),Yes,Yes,Yes,No,Rainfed ,No,No,No,No,No,No,Yes
NG041-7-2,NG,2022/09/29,148,7.592110099999999,6.5689833,792343100402002,40,Nigeria,No,No,No,Few (2-5%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened","In slope direction, tangent to contour",Mechanical (tractor),Yes,Yes,Yes,No,Rainfed ,Yes,No,Yes,Yes,Yes,No,No
NG043-2-2,NG,2022/10/06,41,8.356725,6.53911,792792701700402,42,Nigeria,No,No,No,Few (2-5%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour",Manual (hoe),Yes,Yes,Yes,Yes,Rainfed ,No,No,No,No,Yes,No,No
NG043-4-1,NG,2022/10/06,35,8.3649933,6.539540000000001,792792701601301,43,Nigeria,No,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),Yes,Cultivated and managed land (terrestial area),Shrub,Roots and tubers,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Not applicable,Yes,Yes,Yes,No,Rainfed ,Yes,No,Yes,Yes,Yes,No,No
NG043-1-1,NG,2022/10/06,44,8.3691801,6.540386499999999,792792701601801,44,Nigeria,Yes,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Shrub,Roots and tubers,5 to 12 acres (± 2 to 5 ha ; 20.000-50.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,Yes,Yes,No,Rainfed ,Yes,No,No,Yes,No,No,No
