plot_code,image_array,country_code,survey_date,altitude,longitude,latitude,tsu_id,plot_id,country_name,sign_of_erosion,srf_salt,srf_crust,crsfrgab,srf_stone,lndform,slope_class,bare_soil,main_land_use,life_forms,crop_type,field_size,field_distribution_pattern,ploughing_sign,ploughing_direction,tillage_mode,input_crop_residue,input_green_manure,input_animal_manure,input_inorganic,water_supply,grazing_sign_present,grazing_sign_infrastructure,grazing_sign_droppings,grazing_sign_grass,overgrazing_sign_bare,overgrazing_sign_dung,overgrazing_sign_deforest
KE066-4-2,"[[[ 81 134 186]
  [ 82 135 187]
  [ 82 135 187]
  ...
  [197 210 216]
  [197 210 216]
  [196 209 215]]

 [[ 81 134 186]
  [ 82 135 187]
  [ 82 135 187]
  ...
  [197 210 216]
  [197 210 216]
  [196 209 215]]

 [[ 81 134 184]
  [ 82 135 185]
  [ 82 135 185]
  ...
  [197 210 216]
  [196 209 215]
  [195 208 214]]

 ...

 [[108 140  63]
  [112 153  75]
  [112 156  80]
  ...
  [ 56  77  31]
  [ 92 125  56]
  [ 78 106  49]]

 [[124 161  79]
  [116 159  79]
  [115 158  85]
  ...
  [ 64  78  43]
  [ 81 113  48]
  [ 97 126  62]]

 [[122 161  81]
  [110 155  76]
  [114 158  83]
  ...
  [ 70  85  53]
  [ 71 104  40]
  [111 141  70]]]",KE,2023/05/17,1143,37.614425700000005,-0.9745142,979535400101402,3226,Kenya,Yes,No,No,Common (5-15%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour","Animal traction (buffalo, bullock, cow, horse, mule/donkey)",Yes,No,Yes,Yes,Rainfed ,No,No,No,No,No,No,No
KE078-5-1,"[[[160 188 212]
  [160 188 212]
  [160 188 212]
  ...
  [249 255 255]
  [246 251 250]
  [239 243 242]]

 [[159 187 211]
  [159 187 211]
  [160 188 212]
  ...
  [244 252 253]
  [242 248 248]
  [237 243 244]]

 [[159 187 211]
  [159 187 211]
  [160 188 212]
  ...
  [234 243 246]
  [234 241 244]
  [230 237 240]]

 ...

 [[ 53  60  27]
  [ 49  58  25]
  [ 87 100  60]
  ...
  [158 141 123]
  [149 131 110]
  [140 122  99]]

 [[ 39  38  19]
  [ 27  32   6]
  [ 73  89  46]
  ...
  [130 112  94]
  [157 139 115]
  [130 114  87]]

 [[ 32  23  13]
  [ 35  37  14]
  [102 118  75]
  ...
  [ 88  69  52]
  [129 111  89]
  [139 121  97]]]",KE,2023/05/19,1574,36.9666676,-1.5372725,993336100800901,3238,Kenya,No,No,No,Common (5-15%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Fields: 20 – 50%; clustered – irregular pattern and shape ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,Mechanical (tractor),No,No,Yes,No,Rainfed ,No,No,No,No,No,No,No
KE087-1-1,"[[[237 240 247]
  [239 242 249]
  [238 241 248]
  ...
  [140  79  46]
  [134  75  36]
  [133  74  37]]

 [[239 242 249]
  [239 242 249]
  [237 240 247]
  ...
  [140  80  48]
  [131  72  39]
  [129  72  38]]

 [[238 241 248]
  [235 238 245]
  [236 240 247]
  ...
  [141  82  51]
  [134  78  44]
  [192 142 101]]

 ...

 [[218 217 222]
  [216 215 220]
  [215 214 219]
  ...
  [153 108  75]
  [116  75  54]
  [ 75  43  31]]

 [[217 216 221]
  [215 214 219]
  [214 213 218]
  ...
  [152 101  66]
  [113  73  47]
  [ 74  41  24]]

 [[217 216 221]
  [216 215 220]
  [214 213 218]
  ...
  [150  98  65]
  [115  74  52]
  [ 53  26  14]]]",KE,2023/06/13,914,37.8415102,-2.2313777999999997,1010262302001401,4721,Kenya,No,No,Yes,Very few (0-2%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Pulses,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,Yes,No,Rainfed ,No,No,No,No,No,No,No
KE087-2-1,"[[[239 239 247]
  [245 245 253]
  [247 247 255]
  ...
  [155  85  50]
  [150  82  45]
  [145  77  42]]

 [[240 240 248]
  [245 245 253]
  [247 247 255]
  ...
  [166  94  61]
  [157  87  53]
  [140  69  37]]

 [[241 241 249]
  [245 245 253]
  [247 247 255]
  ...
  [151  78  45]
  [148  77  46]
  [136  65  36]]

 ...

 [[248 248 255]
  [247 247 255]
  [246 246 254]
  ...
  [147  92  69]
  [209 176 158]
  [178 140 117]]

 [[249 249 255]
  [248 248 255]
  [246 246 254]
  ...
  [162 110  85]
  [160 130 109]
  [142 105  78]]

 [[249 250 254]
  [248 249 254]
  [247 247 255]
  ...
  [147  93  68]
  [128  85  63]
  [125  87  65]]]",KE,2023/06/13,919,37.8309616,-2.2258312,1010262301400301,4723,Kenya,No,No,Yes,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Pulses,5 to 12 acres (± 2 to 5 ha ; 20.000-50.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,Yes,No,Rainfed ,No,No,No,No,No,No,No
KE083-2-1,"[[[251 251 253]
  [224 224 225]
  [212 212 213]
  ...
  [252 255 255]
  [250 255 254]
  [249 255 255]]

 [[252 252 253]
  [251 251 252]
  [253 253 253]
  ...
  [252 255 255]
  [250 255 254]
  [248 254 254]]

 [[252 252 252]
  [253 253 253]
  [254 254 254]
  ...
  [252 255 255]
  [250 255 255]
  [246 252 254]]

 ...

 [[125 112  73]
  [136 116 118]
  [140 120 117]
  ...
  [115  94  87]
  [106  93  81]
  [ 96  92  73]]

 [[117 106  53]
  [127 107 106]
  [105  86  78]
  ...
  [122 102  95]
  [103  95  77]
  [ 97  97  75]]

 [[116  99  66]
  [109  95  93]
  [119 101  98]
  ...
  [152 133 119]
  [ 96  97  73]
  [107 101  82]]]",KE,2023/06/14,992,37.7744994,-1.954665,1003582501200301,4725,Kenya,Yes,No,Yes,Very few (0-2%),Coarse gravel (2 - 6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Pulses,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,Yes,No,Rainfed ,No,No,No,No,No,No,No
KE083-1-1,"[[[193 197 208]
  [199 203 212]
  [208 213 219]
  ...
  [188 125  83]
  [169 110  72]
  [163 104  67]]

 [[192 196 207]
  [197 201 212]
  [206 211 218]
  ...
  [182 116  76]
  [189 129  93]
  [209 149 110]]

 [[191 195 207]
  [196 200 211]
  [204 208 217]
  ...
  [188 117  80]
  [165  97  66]
  [182 116  78]]

 ...

 [[250 251 255]
  [247 248 252]
  [244 245 251]
  ...
  [161 103  71]
  [168 105  78]
  [139  77  49]]

 [[249 250 251]
  [247 248 252]
  [246 247 252]
  ...
  [168  97  65]
  [160  93  62]
  [158  90  61]]

 [[244 245 249]
  [244 245 250]
  [244 246 251]
  ...
  [166  95  60]
  [155  84  52]
  [154  92  67]]]",KE,2023/06/14,998,37.7774281,-1.9539646000000002,1003582501100601,4726,Kenya,Yes,No,Yes,Common (5-15%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Pulses,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,Yes,No,Rainfed ,No,No,Yes,No,No,No,No
KE084-2-2,"[[[ 89 143 213]
  [ 92 146 216]
  [ 93 147 217]
  ...
  [ 88  58  49]
  [ 80  56  49]
  [ 59  43  35]]

 [[ 87 141 211]
  [ 91 145 215]
  [ 93 147 217]
  ...
  [ 90  57  46]
  [ 80  46  35]
  [ 82  52  39]]

 [[ 88 142 212]
  [ 92 146 216]
  [ 93 147 217]
  ...
  [ 87  64  47]
  [102  94  71]
  [126 123  99]]

 ...

 [[ 91 144 210]
  [ 93 146 212]
  [ 95 148 214]
  ...
  [ 90 128 105]
  [ 92 120 110]
  [ 84 114 101]]

 [[ 90 143 209]
  [ 94 147 213]
  [ 95 148 214]
  ...
  [ 59  95  83]
  [ 50  85  61]
  [ 33  71  37]]

 [[ 92 145 213]
  [ 95 148 215]
  [ 95 148 216]
  ...
  [ 44  66  51]
  [ 45  67  44]
  [ 45  70  43]]]",KE,2023/06/15,1163,37.556753,-2.0244106,1005362401002002,4736,Kenya,No,No,No,Few (2-5%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Pulses,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,Yes,No,Rainfed ,No,No,Yes,No,No,No,No
KE082-2-1,"[[[239 239 249]
  [240 240 250]
  [241 241 251]
  ...
  [ 36  40  39]
  [ 39  41  39]
  [ 39  41  38]]

 [[239 239 249]
  [240 240 250]
  [240 240 250]
  ...
  [ 30  34  33]
  [ 34  37  34]
  [ 39  41  38]]

 [[239 239 249]
  [240 240 250]
  [240 240 250]
  ...
  [ 33  37  36]
  [ 35  37  35]
  [ 34  36  33]]

 ...

 [[ 72  82  43]
  [ 65  75  40]
  [ 79  89  56]
  ...
  [ 63  36  26]
  [ 60  31  17]
  [ 62  29  15]]

 [[ 72  83  43]
  [ 75  85  47]
  [ 82  91  56]
  ...
  [ 86  59  48]
  [ 83  54  38]
  [ 64  29  17]]

 [[ 64  75  33]
  [ 87  97  59]
  [ 78  88  53]
  ...
  [ 78  45  38]
  [ 85  52  43]
  [111  78  68]]]",KE,2023/06/16,1743,37.399535799999995,-1.8213104,1000463300400801,4737,Kenya,Yes,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Vegetables,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,Manual (hoe),No,No,Yes,Yes,Rainfed ,No,Yes,No,No,No,No,No
KE082-3-1,"[[[199 207 228]
  [198 206 227]
  [198 206 227]
  ...
  [233 237 249]
  [233 236 251]
  [233 236 251]]

 [[199 207 228]
  [198 206 227]
  [198 206 227]
  ...
  [232 236 248]
  [232 235 250]
  [232 235 250]]

 [[199 207 228]
  [198 206 227]
  [198 206 227]
  ...
  [229 233 247]
  [229 232 247]
  [229 232 247]]

 ...

 [[101  73  53]
  [ 95  72  51]
  [ 94  67  48]
  ...
  [166 150 106]
  [179 167 120]
  [153 137  80]]

 [[114  86  69]
  [ 98  74  56]
  [ 91  66  46]
  ...
  [146 136  81]
  [ 90  79  30]
  [126 117  56]]

 [[116 113  67]
  [103  78  54]
  [ 94  68  50]
  ...
  [101  97  33]
  [105 110  40]
  [100 111  40]]]",KE,2023/06/16,1646,37.405579100000004,-1.832375,1000463301601401,4739,Kenya,Yes,No,Yes,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Steep land (Gradient > 30%, relief intensity > 150 m/km)",Steep (30 - 60%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,Manual (hoe),No,No,Yes,Yes,Rainfed ,No,No,No,No,No,No,No
KE082-4-1,"[[[137 146 141]
  [ 94 103  98]
  [201 211 205]
  ...
  [ 63  53  38]
  [110 108  71]
  [ 94  90  41]]

 [[ 62  69  65]
  [ 62  70  66]
  [107 115 110]
  ...
  [ 67  54  35]
  [ 48  40  16]
  [ 77  63  37]]

 [[ 67  73  69]
  [ 63  69  65]
  [ 84  90  86]
  ...
  [ 72  56  33]
  [ 69  65  34]
  [ 62  48  33]]

 ...

 [[220 227 237]
  [228 232 243]
  [233 236 244]
  ...
  [ 36  29  11]
  [ 28  18   6]
  [ 28  19   6]]

 [[220 227 237]
  [227 231 241]
  [231 234 242]
  ...
  [ 16   5   1]
  [ 31  16   9]
  [ 47  38  21]]

 [[221 225 236]
  [226 230 241]
  [230 234 244]
  ...
  [ 11   0   1]
  [ 24   8   4]
  [ 45  30  17]]]",KE,2023/06/16,1577,37.4065763,-1.8352574000000001,1000463301901501,4740,Kenya,Yes,No,No,Common (5-15%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Pulses,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,Manual (hoe),No,No,Yes,No,Rainfed ,No,No,No,No,No,No,No
