plot_code,image_array,country_code,survey_date,altitude,longitude,latitude,tsu_id,plot_id,country_name,sign_of_erosion,srf_salt,srf_crust,crsfrgab,srf_stone,lndform,slope_class,bare_soil,main_land_use,life_forms,crop_type,field_size,field_distribution_pattern,ploughing_sign,ploughing_direction,tillage_mode,input_crop_residue,input_green_manure,input_animal_manure,input_inorganic,water_supply,grazing_sign_present,grazing_sign_infrastructure,grazing_sign_droppings,grazing_sign_grass,overgrazing_sign_bare,overgrazing_sign_dung,overgrazing_sign_deforest
KE066-4-2,"[[[ 81 134 186]
  [ 82 135 187]
  [ 82 135 187]
  ...
  [197 210 216]
  [197 210 216]
  [196 209 215]]

 [[ 81 134 186]
  [ 82 135 187]
  [ 82 135 187]
  ...
  [197 210 216]
  [197 210 216]
  [196 209 215]]

 [[ 81 134 184]
  [ 82 135 185]
  [ 82 135 185]
  ...
  [197 210 216]
  [196 209 215]
  [195 208 214]]

 ...

 [[108 139  63]
  [112 153  75]
  [112 156  79]
  ...
  [ 56  77  30]
  [ 92 125  57]
  [ 79 106  48]]

 [[124 161  79]
  [116 159  79]
  [115 158  84]
  ...
  [ 63  79  43]
  [ 82 113  48]
  [ 97 126  62]]

 [[121 161  81]
  [111 155  76]
  [114 158  83]
  ...
  [ 70  85  52]
  [ 72 103  40]
  [111 141  71]]]",KE,2023/05/17,1143,37.6144257,-0.9745142,979535400101402,3226,Kenya,Yes,No,No,Common (5-15%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour","Animal traction (buffalo, bullock, cow, horse, mule/donkey)",Yes,No,Yes,Yes,Rainfed ,No,No,No,No,No,No,No
KE078-5-1,"[[[160 188 212]
  [160 188 212]
  [160 188 212]
  ...
  [249 255 255]
  [246 251 251]
  [239 243 243]]

 [[159 187 211]
  [159 187 211]
  [160 188 212]
  ...
  [244 252 253]
  [242 247 249]
  [238 243 244]]

 [[159 187 211]
  [159 187 211]
  [160 188 212]
  ...
  [234 243 246]
  [234 241 244]
  [230 237 240]]

 ...

 [[ 53  60  26]
  [ 49  58  24]
  [ 86 100  60]
  ...
  [158 141 123]
  [149 132 110]
  [140 122 100]]

 [[ 39  38  19]
  [ 27  32   6]
  [ 73  88  47]
  ...
  [130 112  94]
  [157 139 115]
  [130 113  87]]

 [[ 32  23  13]
  [ 35  37  14]
  [102 118  75]
  ...
  [ 89  69  52]
  [129 111  89]
  [139 121  98]]]",KE,2023/05/19,1574,36.9666676,-1.5372725,993336100800901,3238,Kenya,No,No,No,Common (5-15%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Fields: 20 – 50%; clustered – irregular pattern and shape ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,Mechanical (tractor),No,No,Yes,No,Rainfed ,No,No,No,No,No,No,No
KE087-1-1,"[[[237 240 247]
  [239 242 249]
  [238 241 248]
  ...
  [140  79  46]
  [134  74  36]
  [133  74  38]]

 [[239 242 249]
  [239 242 249]
  [237 240 247]
  ...
  [140  80  49]
  [131  72  38]
  [129  72  38]]

 [[238 241 248]
  [235 238 245]
  [236 240 247]
  ...
  [141  82  50]
  [134  78  44]
  [192 142 101]]

 ...

 [[218 217 222]
  [216 215 220]
  [215 214 219]
  ...
  [153 108  76]
  [115  76  54]
  [ 75  43  31]]

 [[217 216 221]
  [215 214 219]
  [214 213 218]
  ...
  [152 101  68]
  [113  72  47]
  [ 74  41  24]]

 [[217 216 221]
  [216 215 220]
  [214 213 218]
  ...
  [150  98  66]
  [114  74  52]
  [ 54  26  14]]]",KE,2023/06/13,914,37.8415102,-2.2313778,1010262302001401,4721,Kenya,No,No,Yes,Very few (0-2%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Pulses,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,Yes,No,Rainfed ,No,No,No,No,No,No,No
KE087-2-1,"[[[239 239 247]
  [245 245 253]
  [247 247 255]
  ...
  [155  85  50]
  [150  82  45]
  [145  77  42]]

 [[240 240 248]
  [245 245 253]
  [247 247 255]
  ...
  [166  94  61]
  [157  87  53]
  [139  69  37]]

 [[241 241 249]
  [245 245 253]
  [247 247 255]
  ...
  [151  78  45]
  [148  76  46]
  [136  65  36]]

 ...

 [[248 248 255]
  [247 247 255]
  [246 246 254]
  ...
  [147  92  69]
  [210 176 158]
  [178 140 117]]

 [[249 249 255]
  [248 248 255]
  [246 246 254]
  ...
  [162 110  85]
  [161 129 109]
  [143 104  78]]

 [[249 250 255]
  [248 249 254]
  [247 247 255]
  ...
  [146  93  68]
  [127  85  63]
  [126  87  65]]]",KE,2023/06/13,919,37.8309616,-2.2258312,1010262301400301,4723,Kenya,No,No,Yes,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Pulses,5 to 12 acres (± 2 to 5 ha ; 20.000-50.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,Yes,No,Rainfed ,No,No,No,No,No,No,No
KE083-2-1,"[[[251 251 253]
  [224 224 225]
  [212 212 213]
  ...
  [252 255 255]
  [250 255 254]
  [249 255 255]]

 [[252 252 253]
  [251 251 252]
  [253 253 253]
  ...
  [252 255 255]
  [250 255 254]
  [248 254 254]]

 [[252 252 252]
  [253 253 253]
  [254 254 254]
  ...
  [252 255 255]
  [250 255 255]
  [246 252 254]]

 ...

 [[125 112  74]
  [135 116 116]
  [139 121 118]
  ...
  [115  94  87]
  [106  93  81]
  [ 95  92  73]]

 [[117 105  56]
  [127 108 105]
  [105  86  80]
  ...
  [122 102  94]
  [103  94  77]
  [ 97  97  76]]

 [[117  99  66]
  [110  95  92]
  [119 101  98]
  ...
  [152 133 120]
  [ 97  96  74]
  [107 101  81]]]",KE,2023/06/14,992,37.7744994,-1.954665,1003582501200301,4725,Kenya,Yes,No,Yes,Very few (0-2%),Coarse gravel (2 - 6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Pulses,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,Yes,No,Rainfed ,No,No,No,No,No,No,No
KE083-1-1,"[[[193 197 208]
  [199 203 213]
  [208 213 219]
  ...
  [188 125  83]
  [169 110  72]
  [164 104  67]]

 [[192 196 207]
  [197 201 211]
  [206 211 218]
  ...
  [182 116  76]
  [189 129  93]
  [209 149 110]]

 [[191 195 207]
  [196 200 211]
  [204 208 217]
  ...
  [188 117  81]
  [164  97  65]
  [182 116  78]]

 ...

 [[250 251 255]
  [247 248 252]
  [244 244 251]
  ...
  [161 103  71]
  [168 105  77]
  [139  78  49]]

 [[249 250 252]
  [247 248 252]
  [246 247 252]
  ...
  [167  98  65]
  [160  94  62]
  [157  91  62]]

 [[244 245 250]
  [244 245 250]
  [244 245 251]
  ...
  [166  95  60]
  [155  84  53]
  [155  92  67]]]",KE,2023/06/14,998,37.7774281,-1.9539646,1003582501100601,4726,Kenya,Yes,No,Yes,Common (5-15%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Pulses,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,Yes,No,Rainfed ,No,No,Yes,No,No,No,No
KE084-2-2,"[[[ 89 143 213]
  [ 92 146 216]
  [ 93 147 217]
  ...
  [ 88  58  49]
  [ 81  55  49]
  [ 59  43  35]]

 [[ 87 141 211]
  [ 91 145 215]
  [ 93 147 217]
  ...
  [ 89  57  46]
  [ 78  47  36]
  [ 80  53  40]]

 [[ 88 142 212]
  [ 92 146 216]
  [ 93 147 217]
  ...
  [ 87  65  47]
  [102  94  72]
  [126 123 100]]

 ...

 [[ 91 144 210]
  [ 93 146 212]
  [ 95 148 214]
  ...
  [ 92 127 105]
  [ 92 120 107]
  [ 85 114  98]]

 [[ 90 143 209]
  [ 94 147 213]
  [ 95 148 214]
  ...
  [ 60  95  82]
  [ 51  84  62]
  [ 33  70  39]]

 [[ 92 145 213]
  [ 95 148 215]
  [ 95 148 216]
  ...
  [ 44  66  50]
  [ 45  67  46]
  [ 46  70  45]]]",KE,2023/06/15,1163,37.556753,-2.0244106,1005362401002002,4736,Kenya,No,No,No,Few (2-5%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Pulses,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,"Animal traction (buffalo, bullock, cow, horse, mule/donkey)",No,No,Yes,No,Rainfed ,No,No,Yes,No,No,No,No
KE082-2-1,"[[[239 239 249]
  [240 240 250]
  [241 241 251]
  ...
  [ 36  40  39]
  [ 39  41  39]
  [ 39  41  38]]

 [[239 239 249]
  [240 240 250]
  [240 240 250]
  ...
  [ 30  34  33]
  [ 34  37  34]
  [ 39  41  38]]

 [[239 239 249]
  [240 240 250]
  [240 240 250]
  ...
  [ 33  37  36]
  [ 35  37  35]
  [ 34  36  33]]

 ...

 [[ 72  82  44]
  [ 65  75  40]
  [ 79  89  56]
  ...
  [ 63  36  26]
  [ 60  32  17]
  [ 62  29  16]]

 [[ 72  83  43]
  [ 75  85  47]
  [ 82  92  56]
  ...
  [ 87  59  48]
  [ 83  54  39]
  [ 64  29  17]]

 [[ 64  75  33]
  [ 87  97  59]
  [ 78  88  53]
  ...
  [ 77  45  38]
  [ 85  52  42]
  [111  78  68]]]",KE,2023/06/16,1743,37.3995358,-1.8213104,1000463300400801,4737,Kenya,Yes,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Vegetables,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,Manual (hoe),No,No,Yes,Yes,Rainfed ,No,Yes,No,No,No,No,No
KE082-3-1,"[[[199 207 228]
  [198 206 227]
  [198 206 227]
  ...
  [233 237 249]
  [233 236 251]
  [233 236 251]]

 [[199 207 228]
  [198 206 227]
  [198 206 227]
  ...
  [232 236 248]
  [232 235 250]
  [232 235 250]]

 [[199 207 228]
  [198 206 227]
  [198 206 227]
  ...
  [229 233 247]
  [229 232 247]
  [229 232 247]]

 ...

 [[101  73  53]
  [ 95  72  51]
  [ 93  67  48]
  ...
  [166 150 106]
  [179 167 121]
  [153 137  81]]

 [[113  86  68]
  [ 98  74  56]
  [ 91  66  47]
  ...
  [146 135  81]
  [ 90  79  29]
  [125 117  56]]

 [[116 112  68]
  [103  78  54]
  [ 94  67  49]
  ...
  [101  97  34]
  [105 110  40]
  [101 110  41]]]",KE,2023/06/16,1646,37.4055791,-1.832375,1000463301601401,4739,Kenya,Yes,No,Yes,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Steep land (Gradient > 30%, relief intensity > 150 m/km)",Steep (30 - 60%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,Manual (hoe),No,No,Yes,Yes,Rainfed ,No,No,No,No,No,No,No
KE082-4-1,"[[[137 146 141]
  [ 94 103  98]
  [201 211 205]
  ...
  [ 63  54  37]
  [110 108  72]
  [ 95  90  42]]

 [[ 62  69  65]
  [ 62  70  66]
  [107 115 110]
  ...
  [ 66  54  34]
  [ 48  41  16]
  [ 77  63  37]]

 [[ 67  73  69]
  [ 63  69  65]
  [ 84  90  86]
  ...
  [ 72  56  33]
  [ 69  65  34]
  [ 62  49  31]]

 ...

 [[220 227 237]
  [229 232 242]
  [233 236 244]
  ...
  [ 37  29  11]
  [ 27  18   6]
  [ 28  19   6]]

 [[220 227 237]
  [227 231 240]
  [231 234 243]
  ...
  [ 16   5   2]
  [ 30  17   9]
  [ 47  38  21]]

 [[221 225 236]
  [226 230 241]
  [230 234 245]
  ...
  [ 11   0   1]
  [ 24   8   3]
  [ 45  30  16]]]",KE,2023/06/16,1577,37.4065763,-1.8352574,1000463301901501,4740,Kenya,Yes,No,No,Common (5-15%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Pulses,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,Manual (hoe),No,No,Yes,No,Rainfed ,No,No,No,No,No,No,No
